artist,song_idx,chunk_idx,chunk_path,features
mozart,0,0,./dataset/intermediate_chunks/mozart_song0_chunk0.mid,"[8.98203593e-02 0.00000000e+00 1.64670659e-01 1.07784431e-01
 5.98802395e-03 2.06586826e-01 8.98203593e-03 7.18562874e-02
 2.99401198e-03 7.48502994e-02 2.63473054e-01 2.99401198e-03
 5.97597598e+00 2.37237237e+00 1.29129129e+00 0.00000000e+00
 0.00000000e+00 3.00300300e-01 0.00000000e+00 6.00600601e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.16666679e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.25000000e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.66666672e-01 4.58333343e-01 2.08333328e-01]"
mozart,0,1,./dataset/intermediate_chunks/mozart_song0_chunk1.mid,"[1.67224080e-01 0.00000000e+00 1.13712375e-01 8.69565217e-02
 4.34782609e-02 1.67224080e-01 3.34448161e-03 1.10367893e-01
 3.34448161e-03 1.10367893e-01 1.83946488e-01 1.00334448e-02
 4.53020134e+00 4.09395973e+00 1.14093960e+00 0.00000000e+00
 0.00000000e+00 1.67785235e-01 0.00000000e+00 3.35570470e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.35570470e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.66666701e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.66666701e-02 0.00000000e+00 6.66666701e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.66666701e-02 3.33333343e-01 4.00000006e-01]"
mozart,0,2,./dataset/intermediate_chunks/mozart_song0_chunk2.mid,"[7.91366906e-02 3.59712230e-03 1.61870504e-01 1.07913669e-01
 3.59712230e-03 2.33812950e-01 1.43884892e-02 6.11510791e-02
 3.59712230e-03 6.83453237e-02 2.62589928e-01 0.00000000e+00
 5.23465704e+00 2.99638989e+00 1.40794224e+00 0.00000000e+00
 0.00000000e+00 1.80505415e-01 0.00000000e+00 1.08303249e-01
 3.61010830e-02 3.61010830e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.09090936e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.54545468e-02 1.81818187e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.09090936e-02
 0.00000000e+00 4.54545468e-02 4.09090906e-01 1.36363640e-01]"
mozart,0,3,./dataset/intermediate_chunks/mozart_song0_chunk3.mid,"[1.20967742e-01 4.03225806e-03 1.45161290e-01 8.46774194e-02
 5.64516129e-02 1.53225806e-01 8.06451613e-03 1.12903226e-01
 2.41935484e-02 4.83870968e-02 2.29838710e-01 1.20967742e-02
 4.65587045e+00 2.55060729e+00 2.46963563e+00 4.04858300e-02
 0.00000000e+00 2.02429150e-01 0.00000000e+00 8.09716599e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.52380970e-02 4.76190485e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.76190485e-02 0.00000000e+00
 0.00000000e+00 4.76190485e-02 0.00000000e+00 2.38095239e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.76190485e-02 4.76190485e-02 2.85714298e-01 1.42857149e-01]"
mozart,0,4,./dataset/intermediate_chunks/mozart_song0_chunk4.mid,"[0.19945355 0.03278689 0.06010929 0.01912568 0.07103825 0.18306011
 0.00819672 0.10928962 0.04918033 0.12568306 0.12568306 0.01639344
 5.97260274 2.49315068 1.28767123 0.05479452 0.         0.19178082
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04166667 0.04166667 0.08333334
 0.         0.         0.04166667 0.         0.         0.
 0.         0.04166667 0.         0.         0.         0.
 0.         0.16666667 0.         0.58333331]"
mozart,0,5,./dataset/intermediate_chunks/mozart_song0_chunk5.mid,"[0.12686567 0.03731343 0.00746269 0.03731343 0.04850746 0.3358209
 0.05970149 0.0858209  0.01865672 0.14179104 0.09328358 0.00746269
 5.73033708 1.23595506 2.84644195 0.         0.         0.
 0.         0.18726592 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.21428572 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.42857143 0.07142857 0.2857143 ]"
mozart,0,6,./dataset/intermediate_chunks/mozart_song0_chunk6.mid,"[0.09677419 0.         0.15770609 0.09677419 0.00716846 0.20071685
 0.01433692 0.08960573 0.01792115 0.08243728 0.22939068 0.00716846
 5.64748201 1.22302158 2.84172662 0.         0.         0.25179856
 0.         0.03597122 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03846154 0.         0.         0.
 0.11538462 0.07692308 0.         0.         0.03846154 0.
 0.         0.1923077  0.         0.         0.         0.
 0.         0.03846154 0.34615386 0.15384616]"
mozart,0,7,./dataset/intermediate_chunks/mozart_song0_chunk7.mid,"[1.01818182e-01 1.45454545e-02 3.34545455e-01 8.72727273e-02
 2.54545455e-02 1.81818182e-02 5.09090909e-02 1.20000000e-01
 0.00000000e+00 1.01818182e-01 1.41818182e-01 3.63636364e-03
 6.13138686e+00 3.64963504e-02 3.68613139e+00 3.64963504e-02
 0.00000000e+00 7.29927007e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.64963504e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.12500000e-02 0.00000000e+00
 9.37500000e-02 2.50000000e-01 3.12500000e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.12500000e-02 3.12500000e-02
 0.00000000e+00 0.00000000e+00 1.25000000e-01 9.37500000e-02
 3.12500000e-02 3.12500000e-02 2.50000000e-01 0.00000000e+00]"
mozart,0,8,./dataset/intermediate_chunks/mozart_song0_chunk8.mid,"[0.03873239 0.03521127 0.24647887 0.11971831 0.01408451 0.11267606
 0.0528169  0.11267606 0.08450704 0.04577465 0.13028169 0.00704225
 6.04240283 0.6360424  3.03886926 0.         0.         0.21201413
 0.         0.07067138 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03333334 0.         0.06666667
 0.         0.23333333 0.         0.         0.33333334 0.
 0.         0.16666667 0.         0.         0.06666667 0.
 0.         0.03333334 0.06666667 0.        ]"
mozart,0,9,./dataset/intermediate_chunks/mozart_song0_chunk9.mid,"[0.10204082 0.02040816 0.07142857 0.16666667 0.00680272 0.17346939
 0.01360544 0.15646259 0.0952381  0.03741497 0.1462585  0.01020408
 5.15358362 2.59385666 2.04778157 0.         0.         0.17064846
 0.         0.03412969 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.0625     0.         0.
 0.0625     0.         0.         0.0625     0.         0.0625
 0.         0.1875     0.         0.         0.0625     0.0625
 0.125      0.         0.1875     0.125     ]"
